Rank,Release Date,Title,WE1-to-WE2 Drop,WE2-to-WE3 Drop,Legs Coefficient,Domestic Box Office,Opening Weekend
1,5/27/2022,Top Gun: Maverick,0.29,0.42,5.67,718732821,126707459
2,12/16/2022,Avatar: The Way of Water,0.53,-0.06,5.1,684075767,134100226
3,11/11/2022,Black Panther: Wakanda Forever,0.63,0.31,3.83,453829060,118339761
4,5/6/2022,Doctor Strange in the Multiverse of M…,0.67,0.48,2.19,411331607,187420998
5,6/10/2022,Jurassic World: Dominion,0.59,0.55,2.6,376851080,145075625
6,7/1/2022,Minions: The Rise of Gru,0.57,0.42,3.45,369695210,107010140
7,3/1/2022,The Batman,0.5,0.45,2.76,369345583,134008624
8,7/8/2022,Thor: Love and Thunder,0.68,0.52,2.38,343256830,144165107
9,4/8/2022,Sonic the Hedgehog 2,0.59,0.47,2.65,190872904,72105176
11,10/21/2022,Black Adam,0.59,0.33,2.51,168152111,67004323
12,6/24/2022,Elvis,0.41,0.39,4.84,151040048,31211579
13,2/18/2022,Uncharted,0.48,0.52,3.38,148648820,44010155
14,7/22/2022,Nope,0.58,0.54,2.78,123277080,44366910
15,6/17/2022,Lightyear,0.64,0.64,2.34,118307188,50577961
16,9/30/2022,Smile,0.18,0.32,4.69,105935048,22609925
17,3/25/2022,The Lost City,0.52,0.39,3.46,105344029,30453269
18,8/5/2022,Bullet Train,0.55,0.4,3.44,103368602,30030156
19,4/22/2022,The Bad Guys,0.32,0.41,4.06,97233630,23950245
20,4/15/2022,Fantastic Beasts: The Secrets of Dumb…,0.67,0.41,2.27,95850844,42151256
21,7/29/2022,DC League of Super Pets,0.52,0.37,4.07,93657117,23003441
22,7/15/2022,Where the Crawdads Sing,0.4,0.27,5.23,90230760,17253227
23,6/24/2022,The Black Phone,0.48,0.36,3.81,90123230,23633220
24,1/14/2022,Scream,0.59,0.41,2.72,81641405,30018805
26,4/1/2022,Morbius,0.74,0.54,1.89,73865530,39005895
27,10/21/2022,Ticket to Paradise,0.4,0.13,4.14,68275985,16509095
28,9/16/2022,The Woman King,0.42,0.38,3.53,67328130,19051442
29,10/14/2022,Halloween Ends,0.8,0.49,1.6,64079860,40050355
30,2/18/2022,Dog,0.32,0.4,4.15,61778069,14883928
31,2/4/2022,jackass forever,0.65,0.36,2.49,57743451,23154388
32,12/2/2022,Violent Night,0.35,0.42,3.72,50057405,13450240
33,10/7/2022,"Lyle, Lyle, Crocodile",0.36,0.42,4.11,46888441,11401182
34,2/11/2022,Death on the Nile,0.49,0.32,3.54,45630104,12891123
35,9/23/2022,"Don’t Worry, Darling",0.65,0.49,2.34,45309403,19353213
36,5/20/2022,Downton Abbey: A New Era,0.64,0.45,2.76,44141550,16000495
37,9/9/2022,Barbarian,0.38,0.26,3.87,40842944,10543948
38,11/18/2022,The Menu,0.39,0.37,4.28,38501125,9004957
39,11/23/2022,Strange World,0.58,0.26,3.12,37968963,12151384
40,4/22/2022,The Northman,0.48,0.45,2.79,34233110,12290800
41,3/18/2022,Gekijouban Jujutsu Kaisen 0,0.75,,1.88,33919605,18003204
42,8/19/2022,Doragon boru supa supa hiro (ラゴ�…,0.78,,1.52,32132374,21124049
43,5/27/2022,The Bob’s Burgers Movie,0.63,0.47,2.57,31933830,12416819
44,8/19/2022,Beast,0.58,0.17,2.75,31846530,11575855
45,8/26/2022,The Invitation,0.28,0.45,3.69,25100080,6805468
46,12/23/2022,Whitney Houston: I Wanna Dance With S…,0.16,0.39,5.04,23708080,4700450
47,4/8/2022,Ambulance,0.53,0.56,2.62,22781115,8699630
48,2/11/2022,Marry Me,0.53,0.49,2.82,22438180,7949980
49,4/13/2022,Father Stu,0.38,0.34,3.9,21096678,5402642
50,11/23/2022,Devotion,0.54,0.26,3.47,20511938,5902803
51,4/22/2022,The Unbearable Weight of Massive Talent,0.46,0.59,2.85,20300157,7131703
52,10/28/2022,Prey for the Devil,0.46,0.5,2.76,19802293,7185126
53,2/4/2022,Moonfall,0.7,0.64,1.93,19060660,9868997
54,7/15/2022,Paws of Fury: The Legend of Hank,0.39,0.8,2.82,17811382,6321423
57,12/23/2022,Babylon,0.28,0.46,4.26,15351455,3603368
59,10/7/2022,Amsterdam,0.57,0.7,2.32,14947969,6444896
60,11/18/2022,The Chosen Season 3: Episodes 1 & 2,0.82,0.8,1.67,14612089,8772746
61,1/7/2022,The 355,0.51,0.3,3.15,14570455,4621765
63,8/5/2022,Easter Sunday,0.56,0.61,2.39,13013690,5447130
64,11/4/2022,One Piece Film: Red,0.84,,1.37,12768073,9340245
65,3/18/2022,X,0.49,0.53,2.75,11769469,4275126
66,9/30/2022,Bros,0.56,0.57,2.4,11628165,4854125
71,5/13/2022,Firestarter,0.48,0.86,2.54,9739250,3827715
72,2/11/2022,Blacklight,0.51,0.49,2.74,9591094,3502475
73,9/16/2022,See How They Run,0.36,0.48,3.19,9586237,3007657
74,9/16/2022,Pearl,0.39,0.63,3.01,9423445,3128427
75,1/21/2022,Redeeming Love,0.5,0.43,2.61,9214020,3530180
77,8/26/2022,Three Thousand Years of Longing,0.42,0.65,2.84,8286741,2919717
80,5/20/2022,Men,0.64,0.67,2.3,7587853,3293030
81,4/29/2022,Memory,0.55,0.68,2.35,7329043,3113298
82,8/12/2022,Fall,0.47,0.67,2.88,7240521,2512145
87,11/18/2022,She Said,0.48,0.65,2.63,5825995,2217010
88,12/1/2022,I Heard the Bells,0.63,0.59,2.02,5644104,2788873
91,9/9/2022,Lifemark,0.67,0.65,2.29,5007861,2189456
95,2/18/2022,The Cursed,0.39,0.82,2.58,4588389,1776142
96,7/29/2022,Vengeance,0.59,0.7,2.44,4330720,1775325
97,9/16/2022,Moonage Daydream,0.64,0.44,2.73,4266717,1565658
